,instruction,Category
2437,I don't know what to do to inform of an issue with a signup,Login and Account
2438,"I made a mistake, help me to change purchase {{Order Number}}",Order
2439,how can I cancel the corporate newsletter subscription?,Login and Account
2440,i have got to see my invoice #12588 how can i do it,Shipping
2441,"I would like to edit my goddamn account, I need help",Login and Account
2442,i have to use the {{Account Type}} profile how do ik do it,Login and Account
2443,I am trying to download the bill from {{Person Name}},Shipping
2444,I do not kow how to lodge a consumer claim,Shopping
2445,i want assistance cancelling the newsletter subscription,Login and Account
2446,help me to see in which cases can I ask for a refund,Cancellations and returns
2447,I don't know how I can recover the password of my profile,Login and Account
2448,I have problems with cancelling order {{Order Number}},Order
2449,I need help listing the available payment options,Order
2450,what do i need to do to notify fo an issue with sign-up,Login and Account
2451,do ya have an e-mail address to contact customer support,Warranty
2452,I'm experiencing an issue with my online registration,Login and Account
2453,wanna check order {{Order Number}} status,Order
2454,create pro account,Login and Account
2455,I want to check when my item is going to arrive,Shipping
2456,mail me my bill from {{Person Name}},Shipping
2457,can you help me using the platinum profile?,Login and Account
2458,can you help me to order several articles?,Order
2459,open a {{Account Type}} account for my dad,Login and Account
2460,I want information about the termination of my {{Account Type}} account,Login and Account
2461,i want assistance trying to update my address,Shipping
2462,where to restore my account key?,Login and Account
2463,I am trying to locate order {{Order Number}},Order
2464,how can I speak to a human agent?,Warranty
2465,I need assistance to remove my {{Account Type}} account,Login and Account
2466,can you tell me the damn accepted payment methods?,Order
2467,I want assistance to change the address,Shipping
2468,would it be possible to download the invoice from {{Person Name}}?,Shipping
2469,is there a way to send a review for a product?,Shopping
2470,can i see my invoices from {{Person Name}},Shipping
2471,early termination penalties,Cancellations and returns
2472,I want assistance checking the ETA of purchase {{Order Number}},Order
2473,I cannot swap several articles of order {{Order Number}},Order
2474,can ya help me informing  of problems with online payment,Order
2475,can you help me checking the options for shipment?,Shipping
2476,editing details on {{Account Type}} account,Login and Account
2477,can I edit order {{Order Number}}?,Order
2478,where can I set up the secondary delivery address?,Shipping
2479,show withdrawal penalty,Cancellations and returns
2480,i cannot remove some fucking items from order {{Order Number}},Order
2481,I need to set up my new shipping address,Shipping
2482,help to check what hours I can reach customer support,Warranty
2483,can you help me make a claim against your business?,Shopping
2484,I have to report signup issues,Login and Account
2485,tell me about unsubscribing from your newslewtter,Login and Account
2486,need help to check the available payment modalities,Order
2487,I cannot modify order {{Order Number}},Order
2488,I call to check how long it takes for my shipment to arrive,Shipping
2489,can I see what payment methods are available?,Order
2490,can uhelp me swap an item of order {{Order Number}},Order
2491,I'm waiting for a ocmpensation of {{Refund Amount}} dollars,Cancellations and returns
2492,i dont know what to do to notify of sign-up issues,Login and Account
2493,i need assistance making a consumer claim aginst ur business,Shopping
2494,I want help checking the methods for shipping,Shipping
2495,want help to submit another shipping address,Shipping
2496,can you help me to delete the platinum account?,Login and Account
2497,i want help to create a fucking {{Account Category}} account for my mom,Login and Account
2498,where to see when my order is gonna arrive,Shipping
2499,send me bull from {{Person Name}},Shipping
2500,i expect a compensqtion of {{Refund Amount}} dollars,Cancellations and returns
2501,help m make a claim against ur company,Shopping
2502,I want assistance to lodge a customer reclamation,Shopping
2503,i cfannot see order {{Order Number}} current status,Order
2504,I don't know what I have to do to reset my user account ppwd,Login and Account
2505,i do not know what to do to switch to the {{Account Category}} account,Login and Account
2506,need to download the bills from {{Person Name}},Shipping
2507,i want help checking the early exit penalty,Cancellations and returns
2508,change to {{Account Type}} account,Login and Account
2509,how can i talk wiht customer service,Warranty
2510,would it be possible to talk with someone?,Warranty
2511,I want assistance to check hte ETA of order {{Order Number}},Order
2512,I have got to notify of issues wit payments,Order
2513,I need to correct purchase {{Order Number}},Order
2514,correct info on {{Account Category}} account,Login and Account
2515,assistance seeing ur bloody available payment methods,Order
2516,can you help me solve issues with online payments?,Order
2517,I don't know what to do to change to the {{Account Type}} account,Login and Account
2518,how do i check what delivery methods are available,Shipping
2519,can I inform of a signup error?,Login and Account
2520,i do not know what to do to get the nivoice #12588,Shipping
2521,correcting info on pro account,Login and Account
2522,need to change something of purchase {{Order Number}},Order
2523,"I have to get in touch with customer service, I need help",Warranty
2524,want assistance to change to the freemium account,Login and Account
2525,help me delete an article from purchase {{Order Number}},Order
2526,want assistance canceling the standard account,Login and Account
2527,want assistance to retrieve my profile pin,Login and Account
2528,wanna use the premium account,Login and Account
2529,could you help me requesting a goddamn rebate of my money?,Cancellations and returns
2530,modify details on pro account,Login and Account
2531,i need help with canceling purchase {{Order Number}},Order
2532,I have to see in which cases can I request my money back,Cancellations and returns
2533,how can i see the bill #00108,Shipping
2534,how to open a standard account?,Login and Account
2535,where to make a customer complaint against your company?,Shopping
2536,I don't know what I need to do to check bill #37777,Shipping
2537,I am calling to send feedback about your services,Shopping
2538,I would like to speak to a live agent,Warranty
2539,can you help me check how oson can I expect the parcel?,Shipping
2540,I do not know how to lodge a claim against your business,Shopping
2541,checking status of order {{Order Number}},Order
2542,I want help speaking to a person,Warranty
2543,I try to see my compensation current status,Cancellations and returns
2544,problem with cancelling order {{Order Number}},Order
2545,"I have got to see the methods for shipment, how do I do it?",Shipping
2546,"I want to check the fucking withdrawal fee, how can I do it?",Cancellations and returns
2547,could you help me signing up to the corporate newsletter?,Login and Account
2548,i can check the status of my company newsletter subscription,Login and Account
2549,I want to contact a human agent,Warranty
2550,I want to inform of a registration issue,Login and Account
2551,leave comment about a service,Shopping
2552,i have problems with my pwd recovery,Login and Account
2553,how could I speak to an agent?,Warranty
2554,restore the password of my user,Login and Account
2555,I canno longer afford purchase {{Order Number}},Order
2556,want assistance to lodge a complaint against your business,Shopping
2557,correcting info on {{Account Type}} account,Login and Account
2558,I need help checking the withdrawal fee,Cancellations and returns
2559,removing {{Account Type}} account,Login and Account
2560,help me earning several of ur item,Order
2561,I do not know how I can create a platinum account,Login and Account
2562,can i order from {{Delivery Country}},Shipping
2563,need assistance seeing order {{Order Number}} current status,Order
2564,where can I ask for restitutions of my money?,Cancellations and returns
2565,how to use the {{Account Category}} account?,Login and Account
2566,help to pseak to customer support,Warranty
2567,i need supports tryingh to modify my delivery address,Shipping
2568,how to see at what time customer support available is?,Warranty
2569,edit purchase {{Order Number}},Order
2570,I cannot find my invoices from {{Person Name}},Shipping
2571,"I have to download the invoice from {{Person Name}}, help me",Shipping
2572,would it be possible to talk to an operator?,Warranty
2573,another {{Account Type}} account,Login and Account
2574,want assistance cancelling purchase {{Order Number}},Order
2575,opening pro account,Login and Account
2576,how can I swap a product of order {{Order Number}}?,Order
2577,correct info on {{Account Category}} account,Login and Account
2578,where do I see the options for delivery?,Shipping
2579,"I don't need my damn standard account, I have to remove it",Login and Account
2580,I want help to track the compensation,Cancellations and returns
2581,"I have to contact customer support, help me",Warranty
2582,want assistance to check your refund policy,Cancellations and returns
2583,I need help to check what hours I can call customer service,Warranty
2584,I want assistance to see the status of the compensation,Cancellations and returns
2585,delete {{Account Type}} acvount,Login and Account
2586,I don't know what to do to seeorder {{Order Number}} status,Order
2587,the eperience with ya was bad help me to lodge a reclamation,Shopping
2588,I try tosubmit my secondary delivery address,Shipping
2589,help me reporting an issue with a registration,Login and Account
2590,need heop seeing the ETA of the purchase {{Order Number}},Order
2591,"I need to earn some articles, how can I do it?",Order
2592,I can't inform of prblems with sign-up,Login and Account
2593,I need help to report a bloody error with payment,Order
2594,want assistance notifying of payment issues,Order
2595,i have to see in what cases can i ask for reimbursements,Cancellations and returns
2596,i want assistance to notify of a issue with payments,Order
2597,need assistance solving an issue with online paymenst,Order
2598,I do not know how to get my invoice from {{Person Name}},Shipping
2599,is it possible to chcek the termination charges?,Cancellations and returns
2600,help me to unsubscribe to your newsletter,Login and Account
2601,change to {{Account Category}} account,Login and Account
2602,"I need to leave feedback, can you help me?",Shopping
2603,help me contact aperson,Warranty
2604,speaking with assistant,Warranty
2605,how do I file a consumer complaint against your company?,Shopping
2606,assistance to make a customer reclamation,Shopping
2607,I want to inform of problems with a registration,Login and Account
2608,need assistance to speak to somebody,Warranty
2609,"my card did not work, help to inform of payment issues",Order
2610,want assistance to submit feedback about ur products,Shopping
2611,I have got to obtain reimbursements of money,Cancellations and returns
2612,"I am trying to find shipping periods, could you help me?",Shipping
2613,where to download the invoices from {{Person Name}}?,Shipping
2614,I don't know how I can obtain rebates,Cancellations and returns
2615,wanna change the user information can uhelp me,Login and Account
2616,would it be possible to receive the newsletter?,Login and Account
2617,I want assistance to cancel purchase {{Order Number}},Order
2618,could you help me editing my fucking account?,Login and Account
2619,updaing info on standard account,Login and Account
2620,i dont know how i can inform of an problem with sign-up,Login and Account
2621,"I made a mistake, help me to modify order {{Order Number}}",Order
2622,deliverids to {{Delivery Country}},Shipping
2623,can I see in what cases can I ask for reimbursements?,Cancellations and returns
2624,"I have got to receive your newsletter, can you help me?",Login and Account
2625,where can i lodge a bloody consumer claim against ur company,Shopping
2626,show me in what casescan i request my money back,Cancellations and returns
2627,I do not know what to do to acquire a few of your product,Order
2628,can you help me resetting the access key of my account?,Login and Account
2629,how to see when my product is going to arrive?,Shipping
2630,"I have got to modify purchase {{Order Number}}, I need help",Order
2631,I don't know how to contact an agent,Warranty
2632,where do I check my last purchase estimated time of arrival?,Order
2633,assistance to cancel purchased {{Order Number}},Order
2634,i need help demanding restitutions of my money,Cancellations and returns
2635,can uhelp me check what hours customer support available is,Warranty
2636,i dont know what i need to do to buy some articles,Order
2637,I am waiting for a damn rebate of {{Refund Amount}} dollars,Cancellations and returns
2638,i have to purchase some items,Order
2639,is it possible to report signup errors?,Login and Account
2640,help seeing purchase {{Order Number}} current status,Order
2641,create {{Account Type}} accountfor wife,Login and Account
2642,show me how long it takes for my order to arrive,Shipping
2643,repor sign-up problems,Login and Account
2644,can I check at what time I can reach customer service?,Warranty
2645,I do not know what I have to do ot talk to somebody,Warranty
2646,how do I use the premium profile?,Login and Account
2647,how can I check your payment methods?,Order
2648,I'm waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
2649,help me to restore the access key of my user profile,Login and Account
2650,where do i request a reimbursement of money,Cancellations and returns
2651,"I am unhappy with your services, help filing a complaint",Shopping
2652,I want help to set up another delivery address,Shipping
2653,I'd like to use the {{Account Type}} account could uhelp me,Login and Account
2654,where do i check how soon can i expect my purchase,Shipping
2655,could you help me setting up my shipping address?,Shipping
2656,is it possible to place an order from {{Delivery Country}}?,Shipping
2657,problem with premium account deletions,Login and Account
2658,assistance to inform of problems with online payments,Order
2659,help to check what hours customer assistance available is,Warranty
2660,edit details oon {{Account Type}} account,Login and Account
2661,help checking in which cases can I request to be refunded,Cancellations and returns
2662,help to check in what cases can I ask for a reimbursement,Cancellations and returns
2663,assistance checking purchase {{Order Number}} bloody current status,Order
2664,i have errors submitting my enw delivery address,Shipping
2665,help checking your accepted payment options,Order
2666,clsoe {{Account Category}} account,Login and Account
2667,I do not know what to do to report an error with payments,Order
2668,i amde a mistake i wanna edit order {{Order Number}},Order
2669,how do I receive your newsletter?,Login and Account
2670,problems with a goddamn address update,Shipping
2671,correcting info on gold account,Login and Account
2672,removing standard acconut,Login and Account
2673,how could I reset my user password?,Login and Account
2674,I do not know what I have to do to download bill #12588,Shipping
2675,can utell me about the corporate newsletter subscription,Login and Account
2676,I don't know what I need to do to talk with an operator,Warranty
2677,"I need to submit a shipping address, can I get some help?",Shipping
2678,change purxhase {{Order Number}},Order
2679,need help switching some articles of order {{Order Number}},Order
2680,what is ur customer assistance mail,Warranty
2681,I do not know how to notify of signup errors,Login and Account
2682,wanna check theavailable payment options,Order
2683,help deleting a damn item from order {{Order Number}},Order
2684,help to notify of an error with signup,Login and Account
2685,I do not know how I could write an opinion for a product,Shopping
2686,how to check what payment options are available,Order
2687,how can i set up my new shipping address,Shipping
2688,I do not know how I can contact an operator,Warranty
2689,help to make a customer complaint,Shopping
2690,help to lodge a customer claim against your business,Shopping
2691,could you help me to correct my shipping address?,Shipping
2692,help to see order {{Order Number}} current status,Order
2693,I have got to check how soon can I expect my package,Shipping
2694,"I can't understand a word you say, speak with a human agent",Warranty
2695,i cannot create a {{Account Category}}  account,Login and Account
2696,give me infrmation about my access key retrieval,Login and Account
2697,can uhelp me to cancel purchase {{Order Number}},Order
2698,I am trying to cancel my subscription to your newsletter,Login and Account
2699,where to notify of sign-up errors?,Login and Account
2700,"I forgot my profile key, help me retrieving it",Login and Account
2701,information about the subscription to the newsletter,Login and Account
2702,see purchase {{Order Number}} status,Order
2703,want help to use the standard profile,Login and Account
2704,changing data on pro account,Login and Account
2705,where can I find information about a password retrieval?,Login and Account
2706,another {{Account Category}} account for father,Login and Account
2707,"I have got to list the allowed payment modalities, help me",Order
2708,help me file a claim agazinst ur company,Shopping
2709,wanna open a {{Account Type}} account for my fiance,Login and Account
2710,wqhere to obtain rebates of money,Cancellations and returns
2711,i have to see how soon can i expect my package how to do ig,Shipping
2712,I want assistance resetting my key,Login and Account
2713,I'm waiting for a restitution oof {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
2714,i dont know how to earn a product,Order
2715,need to report an issue with paymentr,Order
2716,refunding{{Currency Symbol}}{{Refund Amount}},Cancellations and returns
2717,help me changing a fucking product of purchase {{Order Number}},Order
2718,issues entering a different delivery address,Shipping
2719,i dont know what i need to do to change to the {{Account Type}} account,Login and Account
2720,i have got to correct purcgase {{Order Number}},Order
2721,howcan I enter another delivery address?,Shipping
2722,wanna check in which cases can i ask for a refund,Cancellations and returns
2723,getting bill from {{Person Name}},Shipping
2724,need assistance to track order {{Order Number}},Order
2725,need hepl switching to the {{Account Category}} account,Login and Account
2726,I can't find anything about the termination penalty,Cancellations and returns
2727,i cannot see the eta of order {{Order Number}},Order
2728,I am waiting for a reimburswment of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
2729,is it possible to get a reimbursement?,Cancellations and returns
2730,want help to set up a shipping address,Shipping
2731,I'm waiting for an refund of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
2732,want help seeing how soon can i expect the parcel,Shipping
2733,i dont know how to list the payment methods,Order
2734,I want assistance to notify of troubles with online payments,Order
2735,"I need to notify of errors with signup, will you help me?",Login and Account
2736,wanna change the info on my account can i get some help,Login and Account
2737,check under which circumstances can I request my money back,Cancellations and returns
2738,"I have to see what options for delivery are there, help me",Shipping
2739,I try to check what hours I can reach customer assistance,Warranty
2740,I have troubles entering another delivery address,Shipping
2741,i want information about the deletion of my {{Account Type}} accounnt,Login and Account
2742,i want help to list ur payment modalities,Order
2743,help me entering a secondary delivery address,Shipping
2744,i want help notifying of a signup problem,Login and Account
2745,i have paid {{Currency Symbol}}{{Refund Amount}} for this item i wanna obtai a rebate,Cancellations and returns
2746,cancel the subscription to ur company newsletter,Login and Account
2747,help checking the status of the restitution,Cancellations and returns
2748,edit info on {{Account Type}} account,Login and Account
2749,I do not know what I have to do to reset my user PIN code,Login and Account
2750,support submitting the delivery address,Shipping
2751,assistance to talk with someone,Warranty
2752,how could I find information about lost PIN?,Login and Account
2753,I don't know what I have to do to demand a compensation,Cancellations and returns
2754,I want assistance to cancel order {{Order Number}},Order
2755,I do not know what I need to do to acquire a product,Order
2756,assistance with canceling purchase {{Order Number}},Order
2757,how can I acquire several of your article?,Order
2758,I want help to locate order {{Order Number}},Order
2759,i have to change purchase {{Order Number}} i need assistanmce,Order
2760,"I am waiting for a  refund of {{Currency Symbol}}{{Refund Amount}}, was it processed",Cancellations and returns
2761,I do not know how I could submit feedback about a service,Shopping
2762,assistance to set up a secondary shipping address,Shipping
2763,i dont know what i have to do to receive a reimbursement,Cancellations and returns
2764,what do i nede to do to shop an item,Order
2765,help updating purchase {{Order Number}},Order
2766,I call to lodge a fucking claim,Shopping
2767,assistance deleting the secondary account,Login and Account
2768,help acquiring some items,Order
2769,help me to set up my secondary shipping address,Shipping
2770,can you send me my damn invoice from {{Person Name}}?,Shipping
2771,changing details on {{Account Type}} account,Login and Account
2772,could I know if there is anything new on my compensation?,Cancellations and returns
2773,I want help giving a quick look at my bill from {{Person Name}},Shipping
2774,I do not know what I need to do to remove the {{Account Type}} account,Login and Account
2775,there is a problem submitting a new shipping address,Shipping
2776,I get error messages when I try to set a shipping address up,Shipping
2777,correcting information on {{Account Type}} account,Login and Account
2778,I need assistance to demand a reimbursement,Cancellations and returns
2779,do ya deliver to {{Delivery City}},Shipping
2780,i have anissue modifying my address,Shipping
2781,another platinum account for father,Login and Account
2782,need to inform of issues with payment,Order
2783,I need help to see your reimbursement policy,Cancellations and returns
2784,want help to cancel purchase {{Order Number}},Order
2785,there is a problem updating my shipping address,Shipping
2786,i need help setting up my new delivery address,Shipping
2787,I do not know what I have to do to close a {{Account Type}} account,Login and Account
2788,see the invoice #00108,Shipping
2789,I try to edit purchase {{Order Number}},Order
2790,I want assistance to ask for rebates,Cancellations and returns
2791,i do not know what to do to create a gold account,Login and Account
2792,I want to make a customer claim against your business,Shopping
2793,where do I see what payment methods are accepted?,Order
2794,can I edit my delivery address?,Shipping
2795,I don't know how I can restore my user access key,Login and Account
2796,where do I restore my user pass?,Login and Account
2797,how do i see the withdrawal fees,Cancellations and returns
2798,how do I use the premium account?,Login and Account
2799,what do i have to do to locate my bill from {{Person Name}},Shipping
2800,need to check the bill from {{Person Name}},Shipping
2801,i do not know what i need to do to download my bill #85632,Shipping
2802,I'm waiting for a restitution of {{Refund Amount}} dollars,Cancellations and returns
2803,can ushow me the cancellation fees,Cancellations and returns
2804,can you help me canceling purchase {{Order Number}}?,Order
2805,is there a method to leave a review for a product?,Shopping
2806,wana check the ETA of order {{Order Number}} will ya help me,Order
2807,help to check what shipping options i have,Shipping
2808,I have a trouble trying to update the delivery address,Shipping
2809,is it possible to check the early termination charges,Cancellations and returns
2810,"I am looking for the shipping periods, I need assistance",Shipping
2811,"I expect a refund of {{Currency Symbol}}{{Refund Amount}}, has it been processed?",Cancellations and returns
2812,help me retrieve my account password,Login and Account
2813,want help to swap several items of purchase {{Order Number}},Order
2814,open gold account for wife,Login and Account
2815,new {{Account Category}} account,Login and Account
2816,is it possible to talk to customer assistance?,Warranty
2817,where do I inform of problems with registrations?,Login and Account
2818,"I have to leave feedback for a product, I need help",Shopping
2819,help me checking what shipment methods I have,Shipping
2820,i dont know what to do to look for the invoice #37777,Shipping
2821,how can i demand refunds of my money,Cancellations and returns
2822,I do not know what I have to do to delete a standard account,Login and Account
2823,how do I see order {{Order Number}} current status?,Order
2824,I try to set up the ddelivery address,Shipping
2825,updating detais on {{Account Category}} account,Login and Account
2826,I have to check the withdrawal penalties,Cancellations and returns
2827,modifying details on {{Account Category}} account,Login and Account
2828,i dont know how i can take a quick look at the bill #37777,Shipping
2829,is it possible tl unsubscribe from ur corporate newsletter,Login and Account
2830,where to lodge a customre claim against ur organization,Shopping
2831,I'm waiting for a restitution of {{Currency Symbol}}{{Refund Amount}} was it processed,Cancellations and returns
2832,help to retrieve the password of my profile,Login and Account
2833,i want help checking how soon can i expect the order,Shipping
2834,i need assistance canceling roder {{Order Number}},Order
2835,I am trying to leave my feedback for a service,Shopping
2836,how to send some feedback about your company?,Shopping
2837,speak to an assistnat,Warranty
2838,want help to swap a product of purchase {{Order Number}},Order
2839,I want to send my feedback about a product,Shopping
2840,can uhelp me subscribe to ur newsletter,Login and Account
2841,i dont know how i can recover my account access key,Login and Account
2842,can i see the status of purchase {{Order Number}},Order
2843,I want assistance to leave a comment about your company,Shopping
2844,"I want to see the status of order {{Order Number}}, I need help",Order
2845,need assistance to use the platinum profile,Login and Account
2846,where could I buy several articles?,Order
2847,see purchase {{Order Number}} status,Order
2848,I want help speaking to goddamn customer service,Warranty
2849,I have got to submit some feedback for a service,Shopping
2850,could utell me about the shipping periods,Shipping
2851,edit details on platinum account,Login and Account
2852,i need support trying to chane my delivery address,Shipping
2853,is it possible to make an order,Order
2854,I cannot submit a secondary delivery address,Shipping
2855,how could I see your bloody accepted payment modalities?,Order
2856,I have an issue trying to change the delivery address,Shipping
2857,how to reset the damn password of my user?,Login and Account
2858,I need help seeing the cancellation fee,Cancellations and returns
2859,I need assistance to shop a product,Order
2860,I don't know how I can contact customer assistance,Warranty
2861,list your accepted payment options,Order
2862,I try to check what shipping methods are available,Shipping
2863,any news on my bloody reimbursement,Cancellations and returns
2864,i cant makr a transfer help me report a payment error,Order
2865,"I would like to get the bill from {{Person Name}}, help me",Shipping
2866,"I need to send feedback, how can I do it?",Shopping
2867,opdn standard account,Login and Account
2868,find my invoices from {{Person Name}},Shipping
2869,where can I inform of a damn sign-up issue?,Login and Account
2870,I want help to report payment problems,Order
2871,where can I get information about the forgotten PIN code?,Login and Account
2872,checking bill from {{Person Name}},Shipping
2873,I have got to see how soon can I expect the fucking item,Shipping
2874,i have to check what hours customer support available is,Warranty
2875,i want assistance to notify of errors with payment,Order
2876,correcting details on premium account,Login and Account
2877,i expect a compensqtion of {{Refund Amount}} dollars,Cancellations and returns
2878,information about cancel the subscription to the newsletter,Login and Account
2879,can uhelp me to buy some items,Order
2880,help updating order {{Order Number}},Order
2881,"I cannot understand you, I want to speak with a human agent",Warranty
2882,seeing early exit penalty,Cancellations and returns
2883,I am trying to change to the {{Account Category}} account,Login and Account
2884,can i place an order frim {{Delivery Country}},Shipping
2885,I try to subscribe to your newsletter,Login and Account
2886,want assistance to report an issue with sign-up,Login and Account
2887,I have signup issues,Login and Account
2888,I'd like to update the fucking data on my user profile,Login and Account
2889,inform of an error with a signup,Login and Account
2890,need to update the info included on my profile how to do it,Login and Account
2891,help me see purchase {{Order Number}} status,Order
2892,"someone has stolen my PIN code, could you help me reset it?",Login and Account
2893,help talking to somebody,Warranty
2894,I don't know how to check the early termination charge,Cancellations and returns
2895,hwere do i open a {{Account Type}} account,Login and Account
2896,change shipping address,Shipping
2897,can uhelp me to correct my delivery address,Shipping
2898,get invoice from {{Person Name}},Shipping
2899,I want to know about correcting the address,Shipping
2900,want assistance to enter a new delivery address,Shipping
2901,how do I see the goddamn ETA of order {{Order Number}}?,Order
2902,help correcting the address,Shipping
2903,help me list your accepted payment methods,Order
2904,have problems with the removal of a {{Account Type}} account,Login and Account
2905,what do I have to do to recover my user PIN?,Login and Account
2906,edit {{Account Type}} accont,Login and Account
2907,closing  platinum account,Login and Account
2908,i have got to list the available payment methods,Order
2909,I want help informing of a problem with signup,Login and Account
2910,uhave an address to send some feedback for a product,Shopping
2911,would it be possible to see what shipping methods are there?,Shipping
2912,what do I have to do to change to the {{Account Type}} account?,Login and Account
2913,get refund of money,Cancellations and returns
2914,what do I need to do to request a rebate?,Cancellations and returns
2915,"I have to order some of your article, how can I do it?",Order
2916,can you give me information about receiving your newsletter?,Login and Account
2917,shipping to {{Delivery City}},Shipping
2918,where can i find information about a pwd reset,Login and Account
2919,I have problems with the termination of my standard account,Login and Account
2920,what do i need to do to switch to the premium account,Login and Account
2921,help me checking ur accepted payment modalities,Order
2922,problem with canceling purchase {{Order Number}},Order
2923,problem with deleting something from purchase {{Order Number}},Order
2924,i need help to delete an article from order {{Order Number}},Order
2925,help to cancel order {{Order Number}},Order
2926,can i order frrom {{Delivery Country}},Shipping
2927,is there a section to leave a comment for a product?,Shopping
2928,help seeing under which circumstances can i request a refund,Cancellations and returns
2929,where could i find my invoice #00108,Shipping
2930,need to change several products of purchase113542617735902,Order
2931,I need assistance notifying of errors with online payments,Order
2932,i need help trying to edit my shipping address,Shipping
2933,where can ilodge a customer reclamation against ur company,Shopping
2934,is it possible to enter the secondary shipping address?,Shipping
2935,information about my fucking subscription to the newsletter,Login and Account
2936,want assistance getting a rebate,Cancellations and returns
2937,track purchase {{Order Number}},Order
2938,is there an address to send a comment for your services?,Shopping
2939,how can I inform of a problem with a sign-up?,Login and Account
2940,I do not know how to seehow soon can I expect my purchase,Shipping
2941,I want to check what payment payment modalities yu accept,Order
2942,I want support modifying the shipping address,Shipping
2943,I cannot find anything about the termination charges,Cancellations and returns
2944,I call to leave some feedback about your services,Shopping
2945,rebate {{Refund Amount}} dollars,Cancellations and returns
2946,get invoice #37777,Shipping
2947,I want help to update order {{Order Number}},Order
2948,help me downloading my invoice #37777,Shipping
2949,I don't know how to get the invoice #37777,Shipping
2950,can you help me create a different bloody platinum account?,Login and Account
2951,where can I cancel purchase {{Order Number}}?,Order
2952,wanna notify of errors with sign-up,Login and Account
2953,i get an error when i try to make a transfer report it,Order
2954,"I don't understand you, I need to talk to a human agent",Warranty
2955,I have to speak with a person,Warranty
2956,i have to se ur available payment methods could ya help me,Order
2957,i try to download bill #37777,Shipping
2958,help me to check the early exit few,Cancellations and returns
2959,i dont know what to do to chat with an agent,Warranty
2960,i have got to restore my user pwd,Login and Account
2961,where to see what payment options are available?,Order
2962,problems with the methods for shipment,Shipping
2963,i dont know whatto do to talk to customer assistance,Warranty
2964,open another premium account for mum,Login and Account
2965,do ya deoiver to {{Delivery City}},Shipping
2966,"I need to see when my order is going to arrive, help me",Shipping
2967,I'd like to change to the standard acconut,Login and Account
2968,deleting {{Account Type}} account,Login and Account
2969,where can I unsubscribe to your companynewsletter?,Login and Account
2970,I am experiencing a problem with the signup,Login and Account
2971,where can I see the early termination fees?,Cancellations and returns
2972,I have a problem updating the delivery address,Shipping
2973,can i check how long it takes for my product to arrive,Shipping
2974,I want assistance to report problems with online payments,Order
2975,i have to check the ETA of order732201349959 i need help,Order
2976,can you help me create a {{Account Category}} account?,Login and Account
2977,i have got to get bill #37777 how to do it,Shipping
2978,want help shopping some items,Order
2979,help unsubscribing to the corporate newsletter,Login and Account
2980,i need assistance tracking purchase {{Order Number}},Order
2981,help to use the {{Account Category}} account,Login and Account
2982,I want assistance to see the fucking status of the rebate,Cancellations and returns
2983,I have to file a complaint against your organization,Shopping
2984,help to report a payment error,Order
2985,how to se your available payment modalities?,Order
2986,there are errors trying to update my shipping address,Shipping
2987,where  do i lodge a consumer claim against ur company,Shopping
2988,want help making a reclamation against ur company,Shopping
2989,can you help me using the platinum account?,Login and Account
2990,I don't know what I need to do to change to the {{Account Type}} account,Login and Account
2991,is it possible to acquire several of ur article,Order
2992,can I speak with a person ?,Warranty
2993,i dont know what to do to modify my bloody user account,Login and Account
2994,"I cannot afford order {{Order Number}}, I need help canceling it",Order
2995,help updating order {{Order Number}},Order
2996,edit information on pro account,Login and Account
2997,I have got to check the invoices from {{Person Name}},Shipping
2998,wanna see the current status of my restitution,Cancellations and returns
2999,can i check the status of purchase {{Order Number}},Order
3000,"I have got to receive the corporate newsletter, I need help",Login and Account
3001,shipmetns to {{Delivery City}},Shipping
3002,can ya direct to me a live agent,Warranty
3003,I try to see in what cases can I request refunds,Cancellations and returns
3004,"someone stole my user profile PIN, how can I reset it?",Login and Account
3005,i do not know how to check ur refund policy,Cancellations and returns
3006,"I cannot pay, help to inform of problems with payment",Order
3007,help me check what hours i can reach customer support,Warranty
3008,help to buy some articles,Order
3009,where do i list the accepted payment modalities,Order
3010,do you ship to {{Delivery City}}?,Shipping
3011,i try to open a  standard account,Login and Account
3012,i have to unsubscribe to ur corporate newsletter,Login and Account
3013,changkng to {{Account Type}} account,Login and Account
3014,I don't know how I can change to the freemium account,Login and Account
3015,help me use the platinum profile,Login and Account
3016,"I need to see the reimbursement status, how can I do it?",Cancellations and returns
3017,"I have to see the damn compensation status, can you help me?",Cancellations and returns
3018,I call to make a customer complaint,Shopping
3019,I can't chat with a goddamn operator,Warranty
3020,open {{Account Type}} account,Login and Account
3021,assistance checking the status of order {{Order Number}},Order
3022,how can I speak to a live agent?,Warranty
3023,I would like to see in which cases can I request refunds,Cancellations and returns
3024,"I want to see the withdrawal fees, how can I do it?",Cancellations and returns
3025,can I edit purchase {{Order Number}}?,Order
3026,can i change to the {{Account Type}} account,Login and Account
3027,how soon can I expect my article?,Shipping
3028,changing info on gold account,Login and Account
3029,I don't know what I need to do to download my invoice #85632,Shipping
